AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,K_VRH
76.4407025,2409.1666666666665,7.166666666666667,4.5,148.83333333333334,1.6966666666666663,1.3333333333333333,0.3333333333333333,3.8333333333333335,0.0,5.5,0.6666666666666666,0.6666666666666666,4.5,5.833333333333333,17.23416666666667,0.12883333333333333,0.25807853333333336,222.83333333333334,194.26888435900003
40.20378572,1568.694,11.8,3.4,119.0,1.834,2.0,1.0,2.8,0.0,5.8,0.0,2.6,1.2,3.8,15.569999999999999,0.30920000000000003,0.61938848,213.4,175.449906754
109.15775,2496.5,11.0,4.5,127.5,2.05,2.0,1.0,3.0,7.0,13.0,0.0,2.0,2.0,4.0,17.265,0.3865,0.0,210.5,295.077544987
69.723,302.91,13.0,4.0,122.0,1.81,2.0,1.0,10.0,0.0,13.0,0.0,5.0,0.0,5.0,18.8575,0.0,0.0,64.0,49.1306700392
76.74183333333332,2300.3333333333335,10.0,4.333333333333333,134.33333333333334,2.0999999999999996,1.3333333333333333,0.6666666666666666,4.666666666666667,0.0,6.666666666666667,0.6666666666666666,1.3333333333333333,2.0,4.0,15.819999999999999,0.25766666666666665,0.0,205.0,256.768080753
43.158364719999994,2012.0940000000003,10.8,3.4,115.0,1.9600000000000002,2.0,0.6,4.2,0.0,6.8,0.0,1.8,1.8,3.6,10.571,0.8992000000000001,0.92908272,200.2,234.454509647
118.66024999999999,726.7149999999999,14.0,5.0,140.25,1.9375,2.0,2.0,10.0,0.0,14.0,0.0,2.5,0.0,2.5,28.975,0.0,0.0,166.75,36.2332855036
192.217,2739.0,9.0,6.0,141.0,2.2,2.0,0.0,7.0,14.0,23.0,0.0,0.0,3.0,3.0,14.21,0.0,0.0,225.0,346.322761289
156.98850000000002,1821.3899999999999,12.0,5.5,140.0,2.125,2.0,1.5,8.5,7.0,19.0,0.0,1.5,1.5,3.0,22.884999999999998,0.0,0.0,195.5,160.280885962
122.97168166666667,1720.5933333333332,10.333333333333334,5.0,139.66666666666666,1.9333333333333333,2.0,1.0,7.333333333333333,4.666666666666667,15.0,0.0,1.0,2.6666666666666665,3.6666666666666665,18.752528735633334,0.0,0.00010337356321833333,202.66666666666666,131.974860422
